Rôle;Style;texte
Cop;Le Bourreau;Cagoule noire, gants en cuir noir et tenue sombre sans aucun insigne visible. L'anonymat total pour les basses œuvres. Cette absence de visage inspire la terreur et la promesse d'une violence sans témoin.
Netrunner;Le Casual;Sweat à capuche oversize, pantalon de jogging gris et baskets confortables. Tissus mous, idéaux pour rester assis des heures. Ce style cherche à paraître banal et non menaçant dans le monde physique pour mieux cacher les talents numériques.
Netrunner;La Combinaison;"Netrunning suit" moulante en latex ou élasthanne rouge ou bleu, avec des connecteurs apparents. Conçu pour réguler la température corporelle dans le cyberespace. La tenue indique une spécialisation technique sérieuse et une préparation physique pour l'immersion virtuelle.
Netrunner;Le Cyber-Goth;Manteau en vinyle noir, bottes à plateformes géantes et colliers de câbles informatiques. Mélange de fétichisme industriel et de culture hacker. L'esthétique sombre mêle la symbolique de la mort à celle de la technologie informatique.
Netrunner;L'Invisible;Vêtements gris terne en tissu anti-IR et anti-reconnaissance faciale avec motifs brouilleurs. Coupe ample pour cacher la silhouette. Le choix des matériaux révèle une volonté obsessionnelle de passer inaperçu et d'échapper à toute surveillance électronique.
Netrunner;Le Néon;Veste transparente en plastique contenant des tubes de néon lumineux ou des fibres optiques. Le Netrunner brille dans la pénombre comme un écran. Cette tenue transforme le corps en une extension visuelle du flux de données lumineuses.
Netrunner;Le Matrix;Long manteau en cuir noir, lunettes noires, vêtements ajustés noirs. Le cosplay ultime du pirate informatique "cool". L'allure adopte les codes visuels cinématographiques du pirate informatique rebelle et mystérieux.
Netrunner;Le Glitch;Vêtements aux motifs asymétriques et couleurs discordantes qui font mal aux yeux. Les imprimés ressemblent à des bugs graphiques. La dissonance visuelle est utilisée pour signaler un rejet des normes esthétiques et systémiques.
Netrunner;Le Zen;Tunique ample style kimono en lin synthétique, sandales minimalistes. Évoque une spiritualité numérique et un calme absolu. Ce style suggère une approche philosophique et calme du piratage, perçu comme un art spirituel.
Netrunner;L'Armure de Données;Plaques de plastique rigide portant des QR codes et des lignes de code imprimées. Le corps devient une base de données physique. Le vêtement invite à l'interaction numérique tout en transformant le corps en support d'information.
Netrunner;L'Avatar;Tenue complète couvrant le visage, en matériau spandex chromé lisse sans traits. Le Netrunner ressemble à un mannequin 3D par défaut. Cette seconde peau signifie l'abandon de l'individualité physique au profit d'une existence purement virtuelle.
Rocker;Le Garage;Jean troué aux genoux, t-shirt blanc sale et chemise à carreaux ouverte. Le look grunge authentique des débuts. Ce négligé revendique une authenticité artistique brute, rejetant le commerce et le succès facile.
Rocker;Le Classique;Pantalon en cuir noir serré, gilet en cuir sur torse nu, bottes de moto. L'archétype du rockeur intemporel et sexy. Le style incarne le charme dangereux et la séduction rebelle traditionnelle du rock'n'roll.
Rocker;Le Glam;Combinaison en lycra pailleté, boa en plumes synthétiques et bottes à talons compensés. Tout est fait pour briller sous les projecteurs. L'exubérance visuelle est conçue pour capter tous les regards et assurer une célébrité instantanée.
Rocker;Le Punk;Veste en jean sans manches couverte de clous, pantalon écossais déchiré et rangers. Matériaux bruts, customisés à la main. La tenue exprime un rejet violent et visible des corporations et de l'ordre établi.
Rocker;Le Provocateur;Vêtements fétichistes comme harnais, latex et chaînes portés en public comme tenue de scène. C'est choquant, sexuel et agressif. Ce choix cherche délibérément à choquer la morale bourgeoise par une sexualisation agressive.
Rocker;Le Révolutionnaire;Treillis militaire stylisé avec béret et brassard rouge, mais en tissus de haute couture. L'esthétique de la guérilla glamourisée. L'apparence militarisée vise à galvaniser les foules et à inciter à l'insurrection politique.
Rocker;L'Écran;Veste faite de panneaux souples LED qui diffusent des clips vidéo ou des messages politiques. Le vêtement est un média en soi. L'artiste se transforme ici en média autonome diffusant ses propres messages sans filtre.
Rocker;Le Chromatique;Costume changeant de couleur selon la température ou le son ambiant grâce à un tissu thermochromique. C'est une performance visuelle constante. La tenue propose une interaction visuelle dynamique qui reflète l'ambiance ou les émotions du moment.
Rocker;Le Royal;Manteau de fausse fourrure hermine, couronne en plastique et bijoux clinquants. Une parodie de la royauté ancienne. Ce style détourne les symboles du pouvoir monarchique pour s'auto-proclamer souverain de la culture underground.
Rocker;L'Abstrait;Vêtements aux formes géométriques impossibles, avec des épaulettes géantes ou des cônes. C'est plus une sculpture qu'un vêtement, gênant les mouvements. L'artiste sacrifie ici la fonctionnalité du vêtement pour devenir une performance vivante et déroutante.
Nomad;Le Vagabond;Poncho en laine synthétique élimée sur un jean renforcé de cuir. Des bottes de marche usées complètent ce look poussiéreux. L'usure des vêtements témoigne d'une vie d'errance et d'une endurance face aux kilomètres parcourus.
Nomad;Le Biker;"Cuir" (blouson et pantalon) épais et rigide pour protéger des chutes de moto. Couvert de l'emblème du clan dans le dos. La tenue affiche une loyauté indéfectible envers le clan motorisé et son mode de vie dangereux.
Nomad;Le Chasseur;Vêtements en peaux d'animaux réelles ou synthétiques et camouflage désertique. Des os et des dents servent de boutons. L'apparence prouve une capacité à vivre en autarcie dans la nature sauvage en exploitant ses ressources.
Nomad;Le Mad Max;Assemblage de protections de sport peintes en noir et fixées sur des vêtements civils. Aspect guerrier de la route improvisé. Ce bricolage signale une agressivité prédatrice envers les convois et une adaptation violente à la route.
Nomad;Le Gitan;Superposition de jupes, foulards et châles aux motifs bariolés et textures variées. Beaucoup de bijoux cliquetants en métal pauvre. Le style montre que la valeur personnelle est portée sur soi, prête à être transportée ou troquée à tout moment.
Nomad;Le Scaphandrier;Tenue entièrement couverte et étanche, avec masque et gants, pour les zones irradiées. Matériaux caoutchouteux et lourds. L'équipement rappelle la dangerosité de l'environnement extérieur et la nécessité d'une protection totale.
Nomad;Le Tribal;Vêtements minimalistes en cuir, révélant beaucoup de peau tatouée. Des scarifications remplacent parfois le tissu. L'exposition du corps aux éléments démontre une résistance physique et mentale supérieure à la moyenne.
Nomad;Le Ferrailleur;Armure artisanale faite de plaques d'immatriculation et de panneaux de signalisation tordus. C'est lourd, bruyant et protecteur. La tenue incarne la récupération et la réutilisation des vestiges technologiques pour survivre.
Nomad;Le Mystique;Longue robe à capuche en toile de jute ou tissu grossier, couverte de symboles peints à la main. Allure de prophète du désert. L'habit suggère la possession de connaissances ésotériques ou d'une sagesse acquise dans les déserts.
Nomad;Le Monstre;Peaux de bêtes cousues grossièrement sur une armure, crânes d'animaux fixés aux épaules. L'humain disparaît sous l'aspect bestial. L'objectif est d'effrayer les adversaires en adoptant l'apparence d'une bête sauvage et dangereuse.
Corporate;Le Junior;Costume gris standard en synthétique bon marché, coupe un peu trop large ou trop serrée. Chaussures propres mais basiques. Le conformisme de la tenue indique une volonté de ne pas faire de vagues pour ne pas compromettre une carrière débutante.
Corporate;Le Salaryman;Costume sombre coupe droite, chemise blanche immaculée, cravate discrète. Tissu anti-tache et infroissable pour les journées de 18h. L'aspect reflète une dévotion totale à l'entreprise et une abnégation personnelle au profit du travail.
Corporate;L'Exécutif;Costume sur mesure en vraie laine ou soie, coupe italienne ajustée. Accessoires en métaux précieux comme une montre ou des boutons de manchette. Le luxe affiché signale ostensiblement la réussite financière et une position dominante dans la hiérarchie.
Corporate;Le Blindé;Costume d'apparence chic mais doublé de kevlar léger (Armored Business Wear). La coupe est un peu plus rigide pour cacher la protection. Ce vêtement révèle discrètement que l'importance du porteur justifie une protection balistique constante.
Corporate;La Power-Dress;Tailleur aux épaulettes marquées et jupe crayon stricte, talons aiguilles en métal. Style agressif et dominant. La mode est utilisée ici pour imposer une autorité visuelle et une domination dans les négociations.
Corporate;Le Minimaliste;Tunique et pantalon noirs sans coutures apparentes, style zen futuriste ultra-luxe. Tissus technologiques qui régulent l'humeur. Cette sobriété marque une distinction sociale par un raffinement épuré inaccessible au commun des mortels.
Corporate;Le Néo-Féodal;Vêtements inspirés de la noblesse historique avec cols hauts et broderies, mais modernisés. Mélange de velours et de chrome. Le style revendique une appartenance à une nouvelle élite héréditaire ou privilégiée qui dirige le monde.
Corporate;Le Kimono;Kimono de soie moderne structuré, souvent aux couleurs d'Arasaka (noir et rouge). Symbole de l'influence culturelle japonaise. L'habit affiche l'allégeance culturelle et professionnelle aux grandes corporations japonaises traditionnelles.
Corporate;Le Haute-Couture;Vêtement avant-gardiste aux formes étranges, fait de matières rares comme du cuir de clone. C'est de l'art plus que du vêtement. La possession de telles pièces démontre un accès exclusif à des ressources et des créations artistiques hors de prix.
Corporate;L'Olympe;Vêtements flottants blancs ou dorés qui semblent ignorer la gravité grâce à des tissus à mémoire de forme. Donne une allure divine. L'ensemble suggère que le porteur a transcendé l'humanité ordinaire pour atteindre un statut quasi-divin.
Media;Le Blogueur;Streetwear branché de marques populaires, sacoche en bandoulière, baskets collectors. Style jeune et mobile. Cette allure montre une proximité avec les tendances actuelles et une capacité à relayer l'information instantanément.
Media;Le Reporter de Guerre;Gilet pare-balles bleu presse sur chemise kaki, pantalon cargo robuste. Vêtements tachés de boue ou de poussière. La tenue signale un engagement physique sur le terrain pour capturer la réalité brute des conflits.
Media;L'Anchor;Tailleur ou costume aux couleurs vives et saturées (rouge, bleu électrique) pour bien passer à l'écran. Coupe parfaite sous tous les angles. L'image est construite pour inspirer une crédibilité et un professionnalisme rassurants pour le grand public.
Media;Le Paparazzi;Vêtements de camouflage urbain ou noir total pour se cacher dans l'ombre. Chaussures silencieuses à semelles molles. L'équipement indique une capacité à capturer des images volées tout en restant indétectable.
Media;Le Gonzo;Chemise hawaïenne criarde sous un trench-coat, lunettes de soleil teintées. Style excentrique et désordonné. L'apparence affiche une immersion totale et subjective dans les événements couverts, au mépris des conventions.
Media;L'Influenceur;Vêtements sponsorisés avec logos des marques bien visibles et lumineux. Change de tenue plusieurs fois par jour. Le style assume la marchandisation de la propre image du Media au profit des sponsors qui le financent.
Media;Le Tech-Wear;Vêtements couverts de poches pour batteries, disques durs et câbles. Aspect utilitaire futuriste noir mat. Cette tenue révèle une autonomie technique permettant de traiter et diffuser des données n'importe où.
Media;L'Œil;Manteau fait d'un tissu réfléchissant type miroir sans tain qui renvoie l'image des gens. Empêche d'être pris en photo tout en attirant l'attention. Le vêtement renvoie le regard des autres vers eux-mêmes pour affirmer le rôle d'observateur intouchable.
Media;Le Propagandiste;Uniforme quasi-militaire stylisé aux couleurs d'une chaîne ou d'un parti. Coupe stricte et autoritaire. L'uniforme incarne la voix rigide et indiscutable de l'autorité politique ou corporatiste.
Media;Le Projecteur;Vêtements blancs unis servant d'écran de projection pour ses propres images. Le Media diffuse son reportage sur son propre corps. Le corps du journaliste se transforme ici en support de diffusion direct pour l'information qu'il porte.
