Rôle;Nom de la coiffure;texte
Netrunner;Le Virtuel;Perruque en plastique translucide bleu ou rose. Donne un aspect d'avatar 3D non texturé.
Netrunner;Le Câblé;Tresses fines et rigides qui partent dans tous les sens, ressemblant à un plat de spaghettis de câbles.
Netrunner;Le Miroir;Cheveux entièrement recouverts de paillettes argentées compactes. Reflète les écrans environnants.
Netrunner;Le Système;Coiffure complexe faite de chignons interconnectés par des rubans noirs, imitant une topologie réseau.
Rockerboy/girl;Le Grunge;Cheveux longs, gras, tombant devant le visage. Accessoirisé avec des épingles à nourrice.
Rockerboy/girl;Le Glam;Volume énorme, cheveux crêpés et laqués. Maquillage éclair sur le visage façon David Bowie.
Rockerboy/girl;Le Néon;Crête iroquoise teinte en rose fluo très vif. Les côtés sont rasés à blanc.
Rockerboy/girl;Le Rebelle;Tête rasée sauf une longue mèche devant, teinte en rouge. Piercings multiples aux oreilles et nez.
Rockerboy/girl;Le Léopard;Cheveux très courts teints avec des motifs de peau de léopard (jaune et taches noires). Kitsch et voyant.
Rockerboy/girl;Le Spike;Cheveux longs dont les pointes sont durcies à la colle pour former des piques géantes autour de la tête.
Rockerboy/girl;Le Vinyle;Cheveux noirs tellement laqués qu'ils ressemblent à du plastique ou du cuir brillant.
Rockerboy/girl;Le Métal;Longue chevelure avec des chaînes fines et légères tressées à l'intérieur. Bruit métallique à chaque mouvement.
Rockerboy/girl;L'Idole;Perruque aux couleurs pastel (bleu ciel, rose bonbon) avec deux couettes géantes. Style Anime exagéré.
Rockerboy/girl;Le Chaos;Mélange de dreads, de crête et de zones rasées, teint en 5 couleurs différentes. Anarchie capillaire totale.
Nomad;Le Routard;Cheveux longs retenus par un bandana usé et poussiéreux. Aspect naturel, délavé par le soleil.
Nomad;Le Cuir;Tresses entourées de lanières de cuir brut. Des plumes d'oiseaux (vraies ou synthétiques) sont accrochées.
Nomad;Le Tribal;Crête Mohawk courte. Tatouages tribaux couvrant tout le crâne rasé sur les côtés.
Nomad;Le Talisman;Dreadlocks décorées d'os de petits animaux, de dents ou de boulons trouvés sur la route.
Nomad;Le Vent;Cheveux très longs, ébouriffés, grisés par la poussière. Lunettes de protection portées sur le front comme serre-tête.
Nomad;La Fourrure;Cheveux crêpés et mélangés à de la fausse fourrure pour donner un aspect de crinière de lion ou de loup.
Nomad;Le Récup;Coiffure ornée de déchets brillants (capsules, morceaux de canettes) percés et utilisés comme bijoux.
Nomad;Le Goudron;Cheveux enduits d'une pâte noire mate et épaisse (argile ou graisse). Aspect lourd et protecteur.
Nomad;Le Masque;Foulard couvrant entièrement les cheveux et la bouche, ne laissant voir que les yeux maquillés de noir (Khol).
Nomad;Le Post-Apo;Crâne rasé par endroits (calvitie artificielle), peau brûlée par le soleil, restes de cheveux en touffes hirsutes.
Corporate;Le Standard;Coupe impeccable, raie sur le côté, cheveux brillants de santé. Le luxe de la simplicité.
Corporate;Le Carré;Coupe au carré ultra-précise, noir de jais. Frange coupée au millimètre au-dessus des sourcils.
Corporate;L'Or;Cheveux saupoudrés de véritable poudre d'or ou tissés avec des fils d'or 24 carats. Signe extérieur de richesse.
Corporate;Le Logo;Le logo de la corporation est rasé ou teint avec précision à l'arrière du crâne. Loyauté affichée.
Corporate;Le Marbre;Cheveux blancs et gris coiffés pour imiter les veinures du marbre. Aspect froid et statutaire.
Corporate;Le Voile;Cheveux très longs et fins, portés devant le visage comme un voile transparent. Mystérieux et intimidant.
Corporate;Le Sculpté;Cheveux gélifiés pour former des formes géométriques solides (cubes, sphères) sur la tête. Art moderne capillaire.
Corporate;La Perle;Crâne chauve, peau maquillée pour avoir un éclat nacré parfait. Bijoux collés directement sur la peau.
Corporate;Le Synthétique;Perruque visiblement artificielle en matériau de luxe (soie, velours). La mode est au "faux" assumé.
Corporate;La Statue;Cheveux et visage entièrement couverts de poudre blanche ou grise. Donne l'air d'une statue grecque vivante.
Media;Le Reporter;Coupe pratique, mi-longue, qui tient en place même avec du vent. Un stylo est souvent piqué dans le chignon.
Media;La Vedette;Brushing volumineux parfait, style présentateur TV des années 80 exagéré. Sourire Ultra-Brite assorti.
Media;Le Flash;Cheveux teints en blond platine presque blanc pour accrocher la lumière des projecteurs.
Media;Le Titre;Mots ou slogans courts ("LIVE", "TRUTH") rasés ou teints sur le côté du crâne.
Media;L'Objectif;Coupe afro ronde et parfaite, rappelant la forme d'une bonnette de microphone.
Media;Le Caméléon;Cheveux qui changent de style chaque jour (perruques variées). Pour se fondre dans n'importe quel milieu.
Media;L'Op art;Motifs hypnotiques noirs et blancs peints sur le crâne rasé. Attire l'attention visuelle immédiatement.
Media;Le Rétro;Coiffure style années 1940 ou 1950 (Victory Rolls), très soignée. Donne un air de "journalisme sérieux".
Media;Le Signal;Coiffure très haute et verticale (30cm), teinte en rouge vif. Impossible de le perdre de vue dans une foule.
Media;Le Yeux;Des dizaines de faux yeux en verre (bijoux) sont collés dans les cheveux ou sur un turban. Symbolise "Je vois tout".
